country_code,year,free_education_years,inbound_mobility_rate,outbound_mobility_rate,region
NAM,2019,7.0,4.683839797973633,7.496719837188721,Africa
NAM,2020,7.0,3.243520021438599,6.392819881439209,Africa
NAM,2021,7.0,,,Africa
NAM,2022,7.0,3.139630079269409,5.252099990844727,Africa
NER,2015,,3.865309953689575,12.54207038879395,Africa
NER,2016,,4.485330104827881,10.8111400604248,Africa
NER,2017,,4.319119930267334,9.23484992980957,Africa
NER,2018,,5.180659770965576,8.043720245361328,Africa
NER,2019,,5.406949996948242,9.321889877319336,Africa
NGA,2013,9.0,,,Africa
NGA,2014,9.0,,,Africa
NGA,2015,9.0,,,Africa
NGA,2016,9.0,,,Africa
NGA,2017,9.0,,,Africa
NGA,2018,9.0,,,Africa
NGA,2019,9.0,,,Africa
NGA,2020,9.0,,,Africa
NGA,2021,9.0,,,Africa
NGA,2022,9.0,,,Africa
RWA,2013,6.0,0.9556499719619752,8.648480415344238,Africa
RWA,2014,6.0,0.9276000261306764,8.091440200805664,Africa
RWA,2015,6.0,0.9684399962425232,6.386879920959473,Africa
RWA,2016,6.0,0.7257599830627441,5.694039821624756,Africa
RWA,2017,9.0,1.72953999042511,5.897570133209229,Africa
RWA,2018,9.0,4.031010150909424,6.65792989730835,Africa
RWA,2019,9.0,3.637979984283447,7.76692008972168,Africa
RWA,2020,9.0,4.202469825744629,6.989850044250488,Africa
RWA,2021,9.0,,,Africa
RWA,2022,9.0,4.534599781036377,7.165239810943604,Africa
SDN,2013,8.0,,1.542799949645996,Africa
SDN,2014,8.0,,1.843140006065369,Africa
SDN,2015,11.0,,1.951509952545166,Africa
SDN,2016,11.0,,,Africa
SDN,2017,11.0,,,Africa
SDN,2018,11.0,,,Africa
SDN,2019,11.0,,,Africa
SDN,2020,11.0,,,Africa
SDN,2021,11.0,,,Africa
SDN,2022,11.0,,,Africa
SEN,2013,11.0,13.83742046356201,8.42926025390625,Africa
SEN,2014,11.0,14.69561004638672,8.537480354309082,Africa
SEN,2015,11.0,15.79401969909668,8.567370414733887,Africa
SEN,2016,11.0,8.120800018310547,8.36793041229248,Africa
SEN,2017,11.0,8.322930335998535,7.914460182189941,Africa
SEN,2018,11.0,7.808889865875244,7.536349773406982,Africa
